,amount,reward_debt,address
70,0,0,0xE330492c38089ED971Fe191A7ec7e78fC773D7DA
71,0,0,0x0b3Cbe5A31FC5ED13328bF6506633584F1326FA2
72,0,0,0x0e3aD4501b28664FaaA49A896b3f0c583cEC2553
73,0,0,0xEAb9F671bdc7157b275793780EB4C5cD23147680
74,0,0,0xE44531a23adf01BA6156aaC7705E7d146B50a97e
75,0,0,0x3Bb31C139aebEFdCE1d1c142362525bAbEA05D37
76,0,0,0x6C462878dcF9755D82f76c88A4946a912eA411a9
77,0,0,0x640c3EDaf5101352a42fD45906CdA7Ffa3b69F82
78,0,0,0x09e3840399b1910b54393Ab7DbE648AA98df0Ff5
79,0,0,0xb8b86a8Fce33322bed8142Dcd3426F5f35289c68
80,0,0,0x7FF2cBAbD7A396CFA981754782aEDf0696145670
81,0,0,0xC085142f74348c913442C3Ea4E6D4c1877dA8295
82,0,0,0x039879A3724d21fBF55B4a89DE3d4eDc7efB5E28
83,0,0,0x6ef4f698e9EC7D2F13B91042892Bc2bc0Fc5B7cF
84,0,0,0xe44Bc310A262F52C75158df9f553dFeBf421253c
85,0,0,0x11ce1a420ae5a4834486B1222e45a9eBFd5dCF8D
86,0,0,0x2E6aff2c29e630E0faEebF4a654CF6e57Af136b8
87,0,0,0x11AC84ab0518E23b4c23Cf06DF6549EB00A6eB1b
88,0,0,0xaB097532b97Ef17BF9cAd511FdEB790ADdfA449C
89,0,0,0x9bd3dACe24745Eb117c1F7f93AAEC5e37333c079
90,0,0,0xC396724f527133041AAF24B2ec6EDc059AE4A764
91,0,0,0x2254E5Fc6455C8ed8aA335FB7D3540Ad91cA6Ef8
92,0,0,0xcDeaF44B2e27C1862DE7f40734BF23d7Fd28f222
93,0,0,0x3aBe7b741708f9fe0fd7B838a083729C1Fd61B57
94,0,0,0x320e1ca9538eA78883CaDb8d532918681C506A3F
95,0,0,0xE3b8d1Fb3c80d88e174Fb93684D4572B7c8D6ADA
96,0,0,0x24C43C00eab1e86621C4E162c0804049257d7108
